load data successfully ......
      Iter       Train Loss   Remaining Time 
       227           0.0000         6056.85m
       228           0.0000         6036.30m
       229           0.0000         6015.84m
       230           0.0000         5994.19m
       231           0.0000         5971.59m
       232           0.0000         5952.64m
       233           0.0000         5932.94m
       234           0.0000         5915.89m
       235           0.0000         5896.51m
       236           0.0000         5876.50m
       237           0.0000         5858.34m
       238           0.0000         5839.83m
       239           0.0000         5821.75m
       240           0.0000         5803.09m
       241           0.0000         5782.12m
       242           0.0000         5762.21m
       243           0.0000         5744.91m
       244           0.0000         5725.83m
       245           0.0000         5708.16m
       246           0.0000         5691.69m
       247           0.0000         5675.60m
       248           0.0000         5656.85m
       249           0.0000         5638.40m
       250           0.0000         5622.77m
       251           0.0000         5603.60m
       252           0.0000         5586.90m
       253           0.0000         5570.42m
       254           0.0000         5553.28m
       255           0.0000         5536.79m
       256           0.0000         5520.45m
       257           0.0000         5503.59m
       258           0.0000         5486.51m
       259           0.0000         5468.75m
       260           0.0000         5453.81m
       261           0.0000         5439.29m
       262           0.0000         5424.45m
       263           0.0000         5409.10m
       264           0.0000         5394.56m
       265           0.0000         5380.23m
       266           0.0000         5365.44m
       267           0.0000         5350.97m
       268           0.0000         5336.58m
       269           0.0000         5323.47m
       270           0.0000         5310.26m
       271           0.0000         5296.20m
       272           0.0000         5283.14m
       273           0.0000         5269.69m
       274           0.0000         5251.71m
       275           0.0000         5237.65m
       276           0.0000         5224.01m
       277           0.0000         5210.56m
       278           0.0000         5196.41m
       279           0.0000         5183.31m
       280           0.0000         5170.50m
       281           0.0000         5156.65m
       282           0.0000         5143.50m
       283           0.0000         5131.51m
       284           0.0000         5116.80m
       285           0.0000         5104.53m
       286           0.0000         5090.85m
       287           0.0000         5078.22m
       288           0.0000         5065.08m
       289           0.0000         5051.12m
       290           0.0000         5035.56m
       291           0.0000         5021.66m
       292           0.0000         5006.97m
       293           0.0000         4994.39m
       294           0.0000         4981.39m
       295           0.0000         4967.77m
       296           0.0000         4955.21m
       297           0.0000         4941.55m
       298           0.0000         4929.24m
       299           0.0000         4915.86m
       300           0.0000         4902.98m
       301           0.0000         4889.27m
       302           0.0000         4877.00m
       303           0.0000         4863.84m
       304           0.0000         4851.50m
       305           0.0000         4835.99m
       306           0.0000         4824.08m
       307           0.0000         4811.66m
       308           0.0000         4797.09m
       309           0.0000         4786.87m
       310           0.0000         4773.23m
       311           0.0000         4759.38m
       312           0.0000         4748.71m
       313           0.0000         4737.81m
       314           0.0000         4726.77m
       315           0.0000         4716.20m
       316           0.0000         4704.75m
       317           0.0000         4692.55m
       318           0.0000         4681.98m
       319           0.0000         4671.11m
       320           0.0000         4659.25m
       321           0.0000         4649.02m
       322           0.0000         4637.70m
       323           0.0000         4627.34m
       324           0.0000         4617.76m
       325           0.0000         4608.62m
       326           0.0000         4598.92m
       327           0.0000         4589.09m
       328           0.0000         4579.20m
       329           0.0000         4568.89m
       330           0.0000         4559.11m
       331           0.0000         4549.22m
       332           0.0000         4539.28m
       333           0.0000         4528.66m
       334           0.0000         4517.42m
       335           0.0000         4507.91m
       336           0.0000         4496.71m
       337           0.0000         4486.81m
       338           0.0000         4476.66m
       339           0.0000         4466.67m
       340           0.0000         4457.05m
       341           0.0000         4446.74m
       342           0.0000         4436.38m
       343           0.0000         4425.68m
       344           0.0000         4416.99m
       345           0.0000         4407.86m
       346           0.0000         4399.01m
       347           0.0000         4389.76m
       348           0.0000         4378.74m
       349           0.0000         4369.41m
       350           0.0000         4358.75m
       351           0.0000         4350.12m
       352           0.0000         4340.47m
       353           0.0000         4332.29m
       354           0.0000         4323.45m
       355           0.0000         4314.16m
       356           0.0000         4304.39m
       357           0.0000         4293.91m
       358           0.0000         4282.39m
       359           0.0000         4273.56m
       360           0.0000         4263.92m
       361           0.0000         4255.26m
       362           0.0000         4245.60m
       363           0.0000         4237.10m
       364           0.0000         4228.90m
       365           0.0000         4219.68m
       366           0.0000         4212.02m
       367           0.0000         4203.59m
       368           0.0000         4193.89m
       369           0.0000         4184.25m
       370           0.0000         4176.17m
       371           0.0000         4167.23m
       372           0.0000         4157.31m
       373           0.0000         4149.22m
       374           0.0000         4139.74m
       375           0.0000         4131.18m
       376           0.0000         4121.87m
       377           0.0000         4113.58m
       378           0.0000         4104.83m
       379           0.0000         4095.54m
       380           0.0000         4086.75m
       381           0.0000         4079.07m
       382           0.0000         4070.22m
       383           0.0000         4062.72m
       384           0.0000         4054.53m
       385           0.0000         4045.50m
       386           0.0000         4037.51m
       387           0.0000         4028.97m
       388           0.0000         4020.17m
       389           0.0000         4012.72m
       390           0.0000         4004.96m
       391           0.0000         3997.81m
       392           0.0000         3990.17m
       393           0.0000         3982.00m
       394           0.0000         3972.61m
       395           0.0000         3964.47m
       396           0.0000         3957.09m
       397           0.0000         3949.63m
       398           0.0000         3942.78m
       399           0.0000         3934.13m
       400           0.0000         3927.24m
       401           0.0000         3920.39m
       402           0.0000         3911.54m
       403           0.0000         3903.14m
       404           0.0000         3895.26m
       405           0.0000         3887.11m
       406           0.0000         3879.20m
       407           0.0000         3871.41m
       408           0.0000         3863.27m
       409           0.0000         3854.42m
       410           0.0000         3847.72m
       411           0.0000         3841.03m
       412           0.0000         3833.82m
       413           0.0000         3826.19m
       414           0.0000         3820.22m
       415           0.0000         3812.43m
       416           0.0000         3805.20m
       417           0.0000         3797.46m
       418           0.0000         3789.68m
       419           0.0000         3782.30m
       420           0.0000         3773.91m
       421           0.0000         3765.23m
       422           0.0000         3758.40m
       423           0.0000         3751.97m
       424           0.0000         3746.11m
       425           0.0000         3738.43m
       426           0.0000         3732.40m
       427           0.0000         3724.72m
       428           0.0000         3719.18m
       429           0.0000         3712.02m
       430           0.0000         3706.02m
       431           0.0000         3699.36m
       432           0.0000         3693.71m
       433           0.0000         3685.38m
       434           0.0000         3678.57m
       435           0.0000         3672.09m
       436           0.0000         3665.63m
       437           0.0000         3659.52m
       438           0.0000         3653.33m
       439           0.0000         3644.85m
       440           0.0000         3637.60m
       441           0.0000         3630.97m
       442           0.0000         3624.56m
       443           0.0000         3618.74m
       444           0.0000         3613.08m
       445           0.0000         3606.96m
       446           0.0000         3600.25m
       447           0.0000         3593.56m
       448           0.0000         3587.20m
       449           0.0000         3579.42m
       450           0.0000         3574.34m
       451           0.0000         3567.38m
       452           0.0000         3560.57m
       453           0.0000         3554.75m
       454           0.0000         3546.77m
       455           0.0000         3540.26m
       456           0.0000         3534.36m
       457           0.0000         3528.26m
       458           0.0000         3520.99m
       459           0.0000         3514.58m
       460           0.0000         3509.16m
       461           0.0000         3503.99m
       462           0.0000         3498.04m
       463           0.0000         3492.64m
       464           0.0000         3486.88m
       465           0.0000         3480.80m
       466           0.0000         3473.69m
       467           0.0000         3468.52m
       468           0.0000         3462.50m
       469           0.0000         3456.91m
       470           0.0000         3450.45m
       471           0.0000         3444.64m
       472           0.0000         3437.52m
       473           0.0000         3431.73m
       474           0.0000         3424.68m
       475           0.0000         3419.43m
       476           0.0000         3413.68m
       477           0.0000         3407.65m
       478           0.0000         3401.99m
       479           0.0000         3395.50m
       480           0.0000         3389.34m
       481           0.0000         3383.06m
       482           0.0000         3376.98m
       483           0.0000         3371.58m
       484           0.0000         3365.34m
       485           0.0000         3359.38m
       486           0.0000         3353.94m
       487           0.0000         3348.58m
       488           0.0000         3342.59m
       489           0.0000         3337.28m
       490           0.0000         3331.85m
       491           0.0000         3325.66m
       492           0.0000         3319.29m
       493           0.0000         3313.11m
       494           0.0000         3307.84m
       495           0.0000         3302.44m
       496           0.0000         3297.31m
       497           0.0000         3291.82m
       498           0.0000         3286.61m
       499           0.0000         3281.70m
       500           0.0000         3274.94m
       501           0.0000         3269.93m
       502           0.0000         3263.98m
       503           0.0000         3259.12m
       504           0.0000         3253.14m
       505           0.0000         3248.48m
       506           0.0000         3243.77m
       507           0.0000         3238.66m
       508           0.0000         3233.51m
       509           0.0000         3228.57m
       510           0.0000         3222.97m
       511           0.0000         3217.79m
       512           0.0000         3212.52m
       513           0.0000         3207.07m
       514           0.0000         3202.13m
       515           0.0000         3197.41m
       516           0.0000         3192.37m
       517           0.0000         3187.61m
       518           0.0000         3182.59m
       519           0.0000         3177.26m
       520           0.0000         3170.60m
       521           0.0000         3165.58m
       522           0.0000         3161.10m
       523           0.0000         3155.69m
       524           0.0000         3150.16m
       525           0.0000         3145.33m
       526           0.0000         3140.67m
       527           0.0000         3135.53m
       528           0.0000         3130.17m
       529           0.0000         3124.47m
       530           0.0000         3118.85m
       531           0.0000         3113.45m
       532           0.0000         3107.68m
       533           0.0000         3102.28m
       534           0.0000         3097.76m
       535           0.0000         3091.85m
       536           0.0000         3086.66m
       537           0.0000         3082.13m
       538           0.0000         3077.17m
       539           0.0000         3072.11m
       540           0.0000         3066.81m
       541           0.0000         3062.22m
       542           0.0000         3058.17m
       543           0.0000         3053.40m
       544           0.0000         3047.83m
       545           0.0000         3043.72m
       546           0.0000         3039.39m
       547           0.0000         3034.57m
       548           0.0000         3029.91m
       549           0.0000         3024.51m
       550           0.0000         3020.36m
       551           0.0000         3016.26m
       552           0.0000         3010.81m
       553           0.0000         3005.14m
       554           0.0000         2999.38m
       555           0.0000         2994.21m
       556           0.0000         2989.74m
       557           0.0000         2984.73m
       558           0.0000         2981.05m
       559           0.0000         2976.76m
       560           0.0000         2972.93m
       561           0.0000         2968.42m
       562           0.0000         2964.21m
       563           0.0000         2959.99m
       564           0.0000         2954.24m
       565           0.0000         2950.47m
       566           0.0000         2945.27m
       567           0.0000         2940.81m
       568           0.0000         2935.72m
       569           0.0000         2930.71m
       570           0.0000         2926.75m
       571           0.0000         2922.20m
       572           0.0000         2917.66m
       573           0.0000         2914.08m
       574           0.0000         2910.12m
       575           0.0000         2906.00m
       576           0.0000         2902.12m
       577           0.0000         2897.83m
       578           0.0000         2893.81m
       579           0.0000         2889.67m
       580           0.0000         2885.26m
       581           0.0000         2879.74m
       582           0.0000         2875.63m
       583           0.0000         2871.54m
       584           0.0000         2867.50m
       585           0.0000         2863.71m
       586           0.0000         2859.66m
       587           0.0000         2855.34m
       588           0.0000         2851.72m
       589           0.0000         2848.27m
       590           0.0000         2844.49m
       591           0.0000         2840.08m
       592           0.0000         2836.46m
       593           0.0000         2831.98m
       594           0.0000         2827.94m
       595           0.0000         2824.01m
       596           0.0000         2820.23m
       597           0.0000         2815.95m
       598           0.0000         2811.87m
       599           0.0000         2807.90m
       600           0.0000         2804.02m
       601           0.0000         2799.76m
       602           0.0000         2795.69m
       603           0.0000         2791.74m
       604           0.0000         2787.65m
       605           0.0000         2782.75m
       606           0.0000         2778.93m
       607           0.0000         2775.53m
       608           0.0000         2771.84m
       609           0.0000         2767.43m
       610           0.0000         2763.66m
       611           0.0000         2758.94m
       612           0.0000         2754.80m
       613           0.0000         2751.44m
       614           0.0000         2747.28m
       615           0.0000         2743.17m
       616           0.0000         2739.59m
       617           0.0000         2735.75m
       618           0.0000         2731.29m
       619           0.0000         2726.94m
       620           0.0000         2722.85m
       621           0.0000         2718.49m
       622           0.0000         2714.35m
       623           0.0000         2710.28m
       624           0.0000         2706.88m
       625           0.0000         2703.46m
       626           0.0000         2699.47m
       627           0.0000         2694.82m
       628           0.0000         2690.66m
       629           0.0000         2687.02m
       630           0.0000         2683.21m
       631           0.0000         2678.56m
       632           0.0000         2674.46m
       633           0.0000         2671.25m
       634           0.0000         2667.61m
       635           0.0000         2663.27m
       636           0.0000         2659.63m
       637           0.0000         2656.09m
       638           0.0000         2652.47m
       639           0.0000         2648.53m
       640           0.0000         2643.77m
       641           0.0000         2640.00m
       642           0.0000         2636.23m
       643           0.0000         2632.89m
       644           0.0000         2629.25m
       645           0.0000         2625.46m
       646           0.0000         2621.51m
       647           0.0000         2618.14m
       648           0.0000         2614.13m
       649           0.0000         2609.60m
       650           0.0000         2605.85m
       651           0.0000         2602.68m
       652           0.0000         2599.23m
       653           0.0000         2595.32m
       654           0.0000         2590.77m
       655           0.0000         2586.43m
       656           0.0000         2583.09m
       657           0.0000         2580.02m
       658           0.0000         2576.16m
       659           0.0000         2572.34m
       660           0.0000         2568.49m
       661           0.0000         2565.11m
       662           0.0000         2561.77m
       663           0.0000         2557.69m
       664           0.0000         2553.32m
       665           0.0000         2549.78m
       666           0.0000         2546.34m
       667           0.0000         2542.43m
       668           0.0000         2539.48m
       669           0.0000         2535.54m
       670           0.0000         2532.24m
       671           0.0000         2527.94m
       672           0.0000         2523.90m
       673           0.0000         2519.68m
       674           0.0000         2515.85m
       675           0.0000         2511.81m
       676           0.0000         2508.43m
       677           0.0000         2504.76m
       678           0.0000         2501.11m
       679           0.0000         2497.59m
       680           0.0000         2494.17m
       681           0.0000         2490.11m
       682           0.0000         2485.85m
       683           0.0000         2481.78m
       684           0.0000         2478.61m
       685           0.0000         2474.44m
       686           0.0000         2470.18m
       687           0.0000         2466.56m
       688           0.0000         2462.72m
       689           0.0000         2459.52m
       690           0.0000         2456.39m
       691           0.0000         2452.89m
       692           0.0000         2448.91m
       693           0.0000         2445.92m
       694           0.0000         2442.23m
       695           0.0000         2438.21m
       696           0.0000         2434.20m
       697           0.0000         2430.24m
       698           0.0000         2427.16m
       699           0.0000         2423.05m
       700           0.0000         2419.44m
       701           0.0000         2416.04m
       702           0.0000         2411.74m
       703           0.0000         2408.44m
       704           0.0000         2405.33m
       705           0.0000         2401.97m
       706           0.0000         2398.61m
       707           0.0000         2394.97m
       708           0.0000         2391.10m
       709           0.0000         2388.19m
       710           0.0000         2385.14m
       711           0.0000         2382.20m
       712           0.0000         2379.02m
       713           0.0000         2374.90m
       714           0.0000         2371.94m
       715           0.0000         2367.87m
       716           0.0000         2365.04m
       717           0.0000         2361.76m
       718           0.0000         2359.07m
       719           0.0000         2355.41m
       720           0.0000         2352.05m
       721           0.0000         2348.49m
       722           0.0000         2345.64m
       723           0.0000         2342.58m
       724           0.0000         2339.39m
       725           0.0000         2336.18m
       726           0.0000         2333.02m
       727           0.0000         2330.40m
       728           0.0000         2327.43m
       729           0.0000         2324.67m
       730           0.0000         2321.55m
       731           0.0000         2318.72m
       732           0.0000         2315.79m
       733           0.0000         2312.42m
       734           0.0000         2308.73m
       735           0.0000         2305.86m
       736           0.0000         2303.11m
       737           0.0000         2300.01m
       738           0.0000         2296.45m
       739           0.0000         2293.67m
       740           0.0000         2290.88m
       741           0.0000         2287.71m
       742           0.0000         2284.96m
       743           0.0000         2281.42m
       744           0.0000         2278.64m
       745           0.0000         2275.65m
       746           0.0000         2272.79m
       747           0.0000         2269.10m
       748           0.0000         2265.16m
       749           0.0000         2262.14m
       750           0.0000         2259.31m
       751           0.0000         2256.67m
       752           0.0000         2254.11m
       753           0.0000         2251.05m
       754           0.0000         2247.46m
       755           0.0000         2243.99m
       756           0.0000         2241.17m
       757           0.0000         2238.63m
       758           0.0000         2235.61m
       759           0.0000         2232.80m
       760           0.0000         2229.53m
       761           0.0000         2226.82m
       762           0.0000         2223.04m
       763           0.0000         2219.67m
       764           0.0000         2216.86m
       765           0.0000         2214.11m
       766           0.0000         2211.04m
       767           0.0000         2208.03m
       768           0.0000         2205.07m
       769           0.0000         2201.25m
       770           0.0000         2198.50m
       771           0.0000         2196.02m
       772           0.0000         2193.02m
       773           0.0000         2190.43m
       774           0.0000         2187.55m
       775           0.0000         2183.97m
       776           0.0000         2181.00m
       777           0.0000         2177.36m
       778           0.0000         2173.73m
       779           0.0000         2171.15m
       780           0.0000         2168.67m
       781           0.0000         2165.85m
       782           0.0000         2162.75m
       783           0.0000         2159.57m
       784           0.0000         2156.43m
       785           0.0000         2153.16m
       786           0.0000         2149.62m
       787           0.0000         2146.93m
       788           0.0000         2143.87m
       789           0.0000         2140.25m
       790           0.0000         2137.25m
       791           0.0000         2134.45m
       792           0.0000         2131.66m
       793           0.0000         2128.24m
       794           0.0000         2125.69m
       795           0.0000         2122.54m
       796           0.0000         2119.45m
       797           0.0000         2116.74m
       798           0.0000         2113.68m
       799           0.0000         2111.33m
       800           0.0000         2108.50m
       801           0.0000         2105.70m
       802           0.0000         2102.73m
       803           0.0000         2099.81m
       804           0.0000         2096.24m
       805           0.0000         2093.61m
       806           0.0000         2091.18m
       807           0.0000         2087.66m
       808           0.0000         2084.30m
       809           0.0000         2081.31m
       810           0.0000         2078.90m
       811           0.0000         2076.05m
       812           0.0000         2073.30m
       813           0.0000         2070.37m
       814           0.0000         2067.54m
       815           0.0000         2064.83m
       816           0.0000         2061.73m
       817           0.0000         2058.57m
       818           0.0000         2055.86m
       819           0.0000         2053.36m
       820           0.0000         2050.98m
       821           0.0000         2048.05m
       822           0.0000         2045.39m
       823           0.0000         2042.33m
       824           0.0000         2039.60m
       825           0.0000         2036.77m
       826           0.0000         2034.08m
       827           0.0000         2031.24m
       828           0.0000         2028.40m
       829           0.0000         2025.79m
       830           0.0000         2022.90m
       831           0.0000         2020.42m
       832           0.0000         2017.62m
       833           0.0000         2014.82m
       834           0.0000         2011.65m
       835           0.0000         2009.06m
       836           0.0000         2005.97m
       837           0.0000         2003.30m
       838           0.0000         1999.97m
       839           0.0000         1996.89m
       840           0.0000         1993.63m
       841           0.0000         1991.35m
       842           0.0000         1989.01m
       843           0.0000         1985.79m
       844           0.0000         1982.42m
       845           0.0000         1979.64m
       846           0.0000         1976.56m
       847           0.0000         1973.86m
       848           0.0000         1971.36m
       849           0.0000         1968.89m
       850           0.0000         1965.82m
       851           0.0000         1963.26m
       852           0.0000         1960.28m
       853           0.0000         1957.31m
       854           0.0000         1954.59m
       855           0.0000         1951.96m
       856           0.0000         1949.41m
       857           0.0000         1946.77m
       858           0.0000         1944.34m
       859           0.0000         1941.28m
       860           0.0000         1938.88m
       861           0.0000         1936.58m
       862           0.0000         1933.28m
       863           0.0000         1930.61m
       864           0.0000         1927.74m
       865           0.0000         1925.11m
       866           0.0000         1922.32m
       867           0.0000         1919.90m
       868           0.0000         1917.25m
       869           0.0000         1914.51m
       870           0.0000         1912.10m
       871           0.0000         1909.77m
       872           0.0000         1907.52m
       873           0.0000         1904.86m
       874           0.0000         1902.37m
       875           0.0000         1900.08m
       876           0.0000         1897.10m
       877           0.0000         1894.51m
       878           0.0000         1891.83m
       879           0.0000         1889.08m
       880           0.0000         1886.41m
       881           0.0000         1884.19m
       882           0.0000         1881.16m
       883           0.0000         1878.41m
       884           0.0000         1875.85m
       885           0.0000         1873.16m
       886           0.0000         1870.36m
       887           0.0000         1868.04m
       888           0.0000         1865.11m
       889           0.0000         1862.11m
       890           0.0000         1859.65m
       891           0.0000         1856.69m
       892           0.0000         1854.32m
       893           0.0000         1851.89m
       894           0.0000         1849.44m
       895           0.0000         1847.15m
       896           0.0000         1844.09m
       897           0.0000         1841.49m
       898           0.0000         1838.94m
       899           0.0000         1836.35m
       900           0.0000         1833.32m
       901           0.0000         1831.04m
       902           0.0000         1828.54m
       903           0.0000         1825.91m
       904           0.0000         1823.73m
       905           0.0000         1821.46m
       906           0.0000         1819.21m
       907           0.0000         1816.98m
       908           0.0000         1813.99m
       909           0.0000         1811.19m
       910           0.0000         1808.49m
       911           0.0000         1806.24m
       912           0.0000         1803.80m
       913           0.0000         1801.35m
       914           0.0000         1798.37m
       915           0.0000         1795.50m
       916           0.0000         1793.12m
       917           0.0000         1790.38m
       918           0.0000         1787.73m
       919           0.0000         1785.67m
       920           0.0000         1783.31m
       921           0.0000         1780.87m
       922           0.0000         1778.68m
       923           0.0000         1776.12m
       924           0.0000         1773.48m
       925           0.0000         1770.51m
       926           0.0000         1767.69m
       927           0.0000         1765.23m
       928           0.0000         1762.53m
       929           0.0000         1760.10m
       930           0.0000         1757.50m
       931           0.0000         1754.72m
       932           0.0000         1752.27m
       933           0.0000         1749.87m
       934           0.0000         1747.65m
       935           0.0000         1745.11m
       936           0.0000         1742.17m
       937           0.0000         1739.88m
       938           0.0000         1737.81m
       939           0.0000         1735.41m
       940           0.0000         1732.80m
       941           0.0000         1730.42m
       942           0.0000         1727.92m
       943           0.0000         1725.36m
       944           0.0000         1722.71m
       945           0.0000         1720.27m
       946           0.0000         1717.82m
       947           0.0000         1715.59m
       948           0.0000         1713.16m
       949           0.0000         1710.80m
       950           0.0000         1708.15m
       951           0.0000         1705.38m
       952           0.0000         1702.79m
       953           0.0000         1700.58m
       954           0.0000         1697.87m
       955           0.0000         1695.61m
       956           0.0000         1693.21m
       957           0.0000         1690.76m
       958           0.0000         1688.51m
       959           0.0000         1686.00m
       960           0.0000         1683.32m
       961           0.0000         1680.51m
       962           0.0000         1678.44m
       963           0.0000         1675.81m
       964           0.0000         1673.24m
       965           0.0000         1670.86m
       966           0.0000         1668.15m
       967           0.0000         1665.52m
       968           0.0000         1662.69m
       969           0.0000         1660.38m
       970           0.0000         1657.81m
       971           0.0000         1655.05m
       972           0.0000         1652.54m
       973           0.0000         1650.28m
       974           0.0000         1647.69m
       975           0.0000         1645.60m
       976           0.0000         1643.07m
       977           0.0000         1640.58m
       978           0.0000         1637.84m
       979           0.0000         1635.20m
       980           0.0000         1632.61m
       981           0.0000         1630.02m
       982           0.0000         1628.15m
       983           0.0000         1625.98m
       984           0.0000         1623.80m
       985           0.0000         1621.27m
       986           0.0000         1618.81m
       987           0.0000         1616.13m
       988           0.0000         1613.45m
       989           0.0000         1611.44m
       990           0.0000         1608.94m
       991           0.0000         1606.44m
       992           0.0000         1604.33m
       993           0.0000         1602.22m
       994           0.0000         1599.98m
